,a,b,c,d,e,f,g,h,i
0,0,213695,-146.02904564315372,0.00952655688032189,-10.036303129786887,8.971139018656089,25.147035927097683,34.08023954157358,-9.027270842464844
1,4,213699,-136.64591977869986,0.00952655688032189,-10.029024051952184,8.970650680454408,25.148913400553784,34.04564459491192,-9.056079536362553
2,8,213703,-146.02904564315372,0.00952655688032189,-10.07997759679509,8.97016234225271,25.150790874009868,34.01969838491565,-8.88322737297629
3,12,213707,-141.33748271092668,0.00952655688032189,-10.116372985968582,8.96967400405103,25.152668347465983,33.915913544930646,-9.027270842464844
4,16,213711,-136.64591977869986,0.00952655688032189,-10.101814830299183,8.969185665849347,25.15454582092207,33.93321101826148,-8.88322737297629
5,20,213715,-146.02904564315372,0.00952655688032189,-10.065419441125684,8.96869732764765,25.156423294378175,33.99375217491939,-8.796801291283145
6,24,213719,-141.33748271092668,0.00952655688032189,-10.036303129786887,8.968208989445968,25.158300767834273,33.915913544930646,-9.027270842464844
7,28,213723,-120.2254495159059,0.00952655688032189,-10.036303129786887,8.967720651244269,25.160178241290375,33.86402112493814,-9.027270842464844
8,32,213727,-153.0663900414936,0.00952655688032189,-10.050861285456286,8.967232313042588,25.162055714746476,33.7948312316148,-9.113696924157985
9,36,213731,-136.64591977869986,0.00952655688032189,-10.065419441125684,8.966743974840906,25.163933188202563,33.777533758283965,-8.969653454669434
10,40,213735,-141.33748271092668,0.00952655688032189,-10.058140363290988,8.966255636639207,25.165810661658664,33.777533758283965,-8.854418679078577
11,44,213739,-141.33748271092668,0.00952655688032189,-10.058140363290988,8.965767298437527,25.167688135114762,33.7948312316148,-9.228931699748841
12,48,213743,-131.95435684647327,0.00952655688032189,-10.036303129786887,8.965278960235844,25.16956560857085,33.751587548287716,-9.084888230260283
13,52,213747,-141.33748271092668,0.00952655688032189,-10.036303129786887,8.964790622034146,25.171443082026954,33.74293881162229,-8.796801291283145
14,56,213751,-141.33748271092668,0.00952655688032189,-10.058140363290988,8.964302283832465,25.173320555483052,33.595910288310186,-9.113696924157985
15,60,213755,-141.33748271092668,0.00952655688032189,-10.058140363290988,8.963813945630767,25.175198028939153,33.56996407831394,-9.142505618055715
16,64,213759,-136.64591977869986,0.00952655688032189,-10.04358220762159,8.963325607429084,25.177075502395255,33.56996407831394,-9.027270842464866
17,68,213763,-162.44951590594746,0.00952655688032189,-10.04358220762159,8.962837269227403,25.17895297585134,33.5440178683177,-9.113696924157985
